from,to,relation
咳嗽吐血,用人参、黄芪、面粉各一两，百合五钱，共研为末，滴水做成丸子，如梧子大。每服五十丸。饭前服，茅根汤送下。又方：人参、乳香、丹砂，等分为末，加乌梅肉和成丸子，如弹子大，每天服一丸，开水送下。,用法
吐血下血，血如泉涌,用人参五钱（焙）、侧柏叶（先蒸后焙）、荆芥穗（烧存性）各五钱，共研为末。每取二钱加入面粉二钱中，以水调成稀糊吃下。,用法
鼻血不止,用人参、嫩柳枝，等分为末。每服一钱，日服三次。无柳枝可用莲子心代。,用法
陰虚尿血,用人参（焙）、黄芪（盐水炙），等分为末；另用红皮萝卜一枚，切成四片蜜炙，炙过再炙，以用尽二两蜂蜜为止。每服以萝卜一片蘸药末吃，盐开水送下,用法
水渴,用人参末，蛋白调匀。每服一钱。一天服三、四次。又方：人参、栝楼根等分，生研为末，炼蜜和丸，如梧子大。每服百丸，饭前以麦门冬煎汤送下。一天服两次。此方名“玉壶丸”。又方：人参一两，甘草二两（雄猪胆汁浸后加炙），脑子半钱，共研为末，调蜜做成丸子，如芡子大。每次嚼一丸，冷开水送下。又方：人参一两，葛粉二两，共研为末。同时，在猪汤一升中，加药三钱、蜜二两，慢火熬成膏子。每夜含咽一匙。三次见效。,用法
痢久晕厥，六脉沉香,用人参、附子各一两半，每次取半两，加生姜十片、丁香十五粒、粳米一撮，在水二碗中煎至一碗半，空心温服。,用法
禁口痢,用人参、莲肉各三钱，水煎成浓汤，一口一口细吞之。或加姜汁炒过黄连三钱同煎亦可。,用法
老人虚痢不止，不能饮食,用人参一两、鹿角一两、鹿角（去皮，炒过）五钱，共研为末，每服一茶匙，米汤调下。一天服三次。,用法
伤寒坏症（伤寒症或其他时疫，病久体弱，脉沉伏，不省人事）,用人参一两，加水二杯，煎至一杯，以井水浸冷后服下。不久，鼻梁出汗，既药有效。此方名“夺命散”（即“复脉汤”）。,用法
伤寒厥逆（身有微热，烦躁，六脉沉细）,用人参半两，水煮，调牛胆南星末二钱，热服。,用法
筋骨风痛,用人参四两，酒泡三天，取出晒干，与土茯苓一斤、山慈姑一两，共研为末，炼蜜和药为丸，如梧子大。每服一百丸，饭前服，米汤送下。,用法
小儿风抽筋,用人参、蛤粉、丹砂，等分为末，加母猪血和成丸子，如绿豆大。每服五十丸，金银汤送下。一天服两次。,用法
蜈蚣、蜂虿螫伤,用人参末涂敷。,用法
小儿惊后眼斜,用人参、阿胶、糯米（炒成珠）各一钱，加水一碗，煎至七成，温服。一天服两次。,用法
沙参,草部,属于
沙参,白参,别名
沙参,知母,别名
沙参,羊乳,别名
沙参,羊婆奶,别名
沙参,铃儿草,别名
沙参,虎须,别名
沙参,苦心,别名
沙参,（根）苦、微寒、无毒。,性状
沙参,肺热咳嗽,主治
沙参,突然发疝（小竟及陰中绞痛，自法出，几欲死）,主治
沙参,妇女白带,主治
肺热咳嗽,用沙参半两，水煎服。,用法
突然发疝（小竟及陰中绞痛，自法出，几欲死）,用沙参研细，每服一茶匙，酒送下。,用法
妇女白带,用沙参研细，每服二钱，米汤送下。,用法
荠苠,草部,属于
荠苠,齐尼,别名
荠苠,杏参,别名
荠苠,杏叶沙参,别名
荠苠,甜桔梗,别名
荠苠,白面根,别名
荠苠,苗名隐忍,别名
荠苠,根）甘、寒、无毒。,性状
荠苠,强中、消渴（男子出精后，陰颈仍然坚挺，称为“强中”；如同时有多饮多便现象，即属“消渴”，能发痈疽）,主治
荠苠,疔疮肿毒,主治
荠苠,脸上黑泡,主治
荠苠,中钩吻毒（钩吻的叶子类似一种芹类，误采食后有生命危险）,主治
强中、消渴（男子出精后，陰颈仍然坚挺，称为“强中”；如同时有多饮多便现象，即属“消渴”，能发痈疽）,用猪肾一个，黑大豆一升，加水一斗半，煮成一半。去渣留汁，再加荠、石膏各三两，人参、茯苓、磁石、知母、葛根、黄芩、栝楼根、甘草各二两，同煮汁至三升。分三次服。此方名“石子荠汤”。又方：荠、大豆、茯苓、磁石、栝楼根、熟地黄、地骨皮、玄参、石斛、鹿茸各一两，人参、沉香各半两，共研细，加煮烂的猪肚子，捣匀成丸，如梧子大。每服七十丸，空心服，盐水送下。此方名“荠丸”。,用法
疔疮肿毒,用生荠根捣汁内服，外用药渣敷疮。三次可愈。,用法
脸上黑泡,用荠、肉桂各一两，研细。每服一茶匙，醋汤送下。,用法
中钩吻毒（钩吻的叶子类似一种芹类，误采食后有生命危险）,用荠八两，加水六升，煮成三升。每服五合，一天服五次。,用法
桔梗,草部,属于
桔梗,白药,别名
桔梗,梗草,别名
桔梗,荠,别名
桔梗,（根）辛、微温、有小毒。认为：“当以苦、辛、平为”。,性状
桔梗,胸满不痛,主治
桔梗,伤寒腹胀（陰陽不和）,主治
桔梗,痰嗽喘急,主治
桔梗,肺痈咳嗽（胸满振寒，脉数咽干，先吐臭痰，后吐臭脓）,主治
桔梗,喉痹,主治
桔梗,咽痛,主治
桔梗,口舌生疮,主治
桔梗,虫牙肿痛,主治
桔梗,骨槽风（牙龈肿痛）,主治
桔梗,牙疳,主治
桔梗,眼睛痛，眼发黑,主治
桔梗,鼻血不止,主治
桔梗,吐血下血,主治
桔梗,打伤阏血,主治
桔梗,中蛊下血（下血如鸡肝色，大量排出，病热很险）,主治
桔梗,怀孕中恶（心腹突然大痛）,主治
胸满不痛,用桔梗、枳壳等分。煎水二杯，成一杯，温服。,用法
伤寒腹胀（陰陽不和）,用桔梗、半夏、陈皮各三钱，生姜五片，煎水二杯，成一杯服。此方名“桔梗半夏汤”。,用法
痰嗽喘急,用桔梗一两、甘草二两，加水三升，煮成一升，温服。吐出脓因时，是病渐愈之象。此方名“桔梗汤”。,用法
喉痹,用桔梗二两，水三升，煎成一升。一次服下。,用法
咽痛,先服甘草汤，如不愈，再服桔梗汤。,用法
口舌生疮,先服甘草汤，如不愈，再服桔梗汤。,用法
虫牙肿痛,用桔梗、薏苡，等分为末，内服。,用法
骨槽风（牙龈肿痛）,用桔梗研细，与枣肉调成丸子，如皂角子大。裹棉内，上下牙咬住。常用荆芥煎汤嗽口。,用法
牙疳,用桔梗、茴香等分，略烧后研细敷患处。,用法
眼睛痛，眼发黑,用桔梗一斤、黑牵牛头三两，共研细，加蜜成丸，如梧子大。每服四十丸，温水送下。一天服二次。此方称“桔梗丸”。,用法
鼻血不止,用桔梗研细，加水调匀。每服一茶匙，一天服四次。药中加生犀牛角屑亦可。,用法
吐血下血,治法同上。,用法
打伤阏血,用桔梗末，每服少许，米汤送下。,用法
中蛊下血（下血如鸡肝色，大量排出，病热很险）,用桔梗研细，每服一茶匙，酒送下。一天服三次。初时须强灌。约七天之后，血止。可吃猪肝汤补身体。药中也可加犀角，用量与桔梗等分。,用法
怀孕中恶（心腹突然大痛）,用桔梗一两，锉细，加生姜三片。水一杯煎服。,用法
长松,草部,属于
长松,仙茆,别名
长松,生古松下，根色如荠，味似人参,别名
长松,药酒,主治
药酒,长松一两五钱，熟地黄八钱，生地黄、黄芪（蜜灸）、陈皮各七钱，当归、厚朴、黄各五钱，白芍药（煨）、人参、枳壳各四钱，苍术（米泔制）、半夏（制）、天门冬、麦门冬、砂仁、黄连各三钱，木香、蜀椒、胡桃仁各二钱，小红枣肉八个，老米一撮，灯心（五寸长）一百二十根。以上为一料，分成十剂收存。另取米五升，造酒一碗，煮一份药。经过一段时间后饮药酒,用法
黄精,草部,属于
黄精,黄芝,别名
黄精,戊已芝,别名
黄精,菟竹,别名
黄精,鹿竹,别名
黄精,仙人余粮,别名
黄精,救穷草,别名
黄精,米铺,别名
黄精,野生姜,别名
黄精,重楼,别名
黄精,鸡格,别名
黄精,龙御,别名
黄精,垂珠,别名
黄精,（根）甘、平、无毒。,性状
黄精,补肝明目,主治
黄精,大风癞疮（风邪入血，日久成癞，鼻坏色败）,主治
黄精,脾胃虚弱，体倦乏力,主治
补肝明目,用黄精二斤、蔓菁子一斤，共同九蒸九晒，研为细末。每服二钱，米汤送下。常服有延年益寿的作用。,用法
大风癞疮（风邪入血，日久成癞，鼻坏色败）,用黄精去皮，洗净，取二斤晒干，放在米饭上蒸到饭熟时，把药保存好，经常服食。,用法
脾胃虚弱，体倦乏力,用黄精、枸杞子等分，捣碎作饼，晒干研细，炼蜜调药成丸，如梧子大。每服五十丸，开水送下。,用法
萎蕤,草部,属于
萎蕤,女萎,别名
萎蕤,葳蕤,别名
萎蕤,萎,别名
萎蕤,委萎,别名
萎蕤,萎香,别名
萎蕤,荧,别名
萎蕤,玉竹,别名
萎蕤,地节,别名
萎蕤,根）甘、平、无毒。,性状
萎蕤,眼红兼有涩、痛,主治
萎蕤,眼见黑花，红痛昏暗,主治
萎蕤,小便淋,主治
萎蕤,小便涩，发热口干,主治
萎蕤,后虚肿,主治
眼红兼有涩、痛,用萎蕤、赤芍、当归、黄连等分，煎汤熏洗。,用法
眼见黑花，红痛昏暗,用萎蕤（焙）四两，每取二钱，略加薄荷、生姜、蜂蜜，同煎汤。睡前温服，一天服一次。此方名“甘露汤”。,用法
小便淋,用萎蕤一两、芭蕉根四两、滑石二钱，水煎，分三次服。,用法
小便涩，发热口干,用萎蕤五两，煎水服。,用法
后虚肿,用萎蕤、葵子龙胆、茯苓、前胡，等分为末。每服一钱，水煎服。,用法
知母,草部,属于
知母,母,别名
知母,连母,别名
知母,母,别名
知母,货母,别名
知母,地参,别名
知母,水参（水须、水浚）,别名
知母,荨,别名
知母,藩,别名
知母,苦心,别名
知母,心草,别名
知母,根）苦、寒、无毒。,性状
知母,痰嗽,主治
知母,久嗽气急,主治
知母,妊娠不足月，腹痛欲产,主治
知母,紫癜风疾,主治
知母,甲疽,主治
痰嗽,用知母、贝母各一两，研细：巴豆三十枚，去油，研匀。每夜，切生姜三片，二面蘸上药末，放在口里细嚼咽下，随即睡觉。次日必泻，痰嗽渐止。体弱者，不用巴豆。,用法
久嗽气急,用知母五钱（去毛切片，隔纸炒过）、杏仁五钱（姜水泡，去皮尖，焙过），同煎服。另以萝卜子、杏仁，等分为末，加米糊做成丸子。每服五十丸，姜汤送下，以绝病均。,用法
妊娠不足月，腹痛欲产,用知母二两，研细，和蜜做成丸子，如梧子大。每服二十丸，米粥送下。,用法
紫癜风疾,用醋磨知母涂搽。,用法
甲疽,用知母，烧存性，研末敷患处。,用法
肉苁蓉,草部,属于
肉苁蓉,肉松容,别名
肉苁蓉,黑司命,别名
肉苁蓉,甘、微温、无毒。,性状
肉苁蓉,劳伤，精败面黑,主治
肉苁蓉,肾虚白浊,主治
肉苁蓉,汗多便秘（年老或体虚的病人）,主治
肉苁蓉,消中易饥（按：患此病者常多食，但身体很消瘦）,主治
肉苁蓉,破伤风（口禁，身强直）,主治
破伤风（口禁，身强直）,用肉苁蓉切片晒干，烧成烟熏伤处，累效。,用法
消中易饥（按：患此病者常多食，但身体很消瘦）,用肉苁蓉、山萸、五味子等分，共研为末，加蜜做成丸子，如梧子大。每服二十丸，盐酒送下。,用法
汗多便秘（年老或体虚的病人）,用肉苁蓉（酒浸，焙过）二两、沉香末一两，共研为末。加麻子杜汁糊成丸子，如梧子大。每服七、八丸。白开水送下。,用法
肾虚白浊,用肉苁蓉、鹿茸、山药、白茯苓，等分为末，加米糊做成丸子，如梧子大，每服三十丸，枣汤送下。,用法
劳伤，精败面黑,用肉苁蓉四两，水煮烂，切薄研细，炖羊肉吃。,用法
列当,草部,属于
列当,栗当,别名
列当,草苁蓉,别名
列当,花苁蓉,别名
列当,（根）甘、温、无毒。,性状
列当,男子五劳七伤、陽痿等症,主治
男子五劳七伤、陽痿等症,用列当二斤，捣烂筛净,用法
赤箭（天麻）,草部,属于
赤箭（天麻）,赤箭芝,别名
赤箭（天麻）,独摇芝,别名
赤箭（天麻）,定风草,别名
赤箭（天麻）,离母,别名
赤箭（天麻）,合离草,别名
赤箭（天麻）,神草,别名
赤箭（天麻）,鬼督邮,别名
赤箭（天麻）,赤箭以“其茎如箭杆”，赤色而得名。《神农本草经》,别名
赤箭（天麻）,辛、温、无毒。,性状
赤箭（天麻）,诸风湿痹、四肢拘挛、瘫患不随、眩晕头痛等症,主治
诸风湿痹、四肢拘挛、瘫患不随、眩晕头痛等症,说：“天麻乃肝经气分之药。.......眼黑头眩，风虚内作，非天麻不能治。天订乃定风草，故为治风之神药。今有久服天麻药，遍身发出红丹者，是其祛风之验也。”凡欲消风化痰、清利头目、宽胸利膈以及治疗头晕、多睡、肢节痛、偏头风、鼻痈、面肿等症，都要服“天麻丸”。配方及服法：天麻半两、芎二两，共研为末，炼蜜做成丸子，如芡子大。每次嚼服一丸，饭后服，茶或酒送下。[附]还筒子（天麻子）【主治】定风补虚，功同天麻。,用法
术（白术）,草部,属于
术（白术）,山蓟,别名
术（白术）,杨,别名
术（白术）,蓟,别名
术（白术）,马蓟,别名
术（白术）,山姜,别名
术（白术）,山连,别名
术（白术）,吃力伽,别名
术（白术）,甘、温、无毒。,性状
术（白术）,胸膈烦闷,主治
术（白术）,五饮（一、留饮，水在胸部；二、癖饮，水在两胁下；三、痰饮，水在胃中；四、溢饮，水在五脏间；五、流饮，水在肠间。这些都是因为饮食胃寒，或饮茶过多所致）,主治
术（白术）,四肢肿满,主治
术（白术）,中风口禁，不省人事,主治
术（白术）,产后中寒，遍身冷直，口禁,主治
术（白术）,头忽晕眩，四体消瘦，饮食无味，好食黄土,主治
术（白术）,中湿骨痛,主治
术（白术）,小儿蒸热（脾虚人瘦，不思饮食）,主治
术（白术）,皮疹,主治
术（白术）,自汗不止,主治
术（白术）,盗汗,主治
术（白术）,产后呕吐,主治
术（白术）,脾虚胀满（脾气不和，冷气客于中，雍塞不通）,主治
术（白术）,脾虚泄泻,主治
术（白术）,久泻肠滑,主治
术（白术）,小儿久泻（米谷不化，饮食不进）,主治
术（白术）,肠风痔漏、脱肛泻血，长期不愈,主治
术（白术）,妊妇束胎（按：束脂是指产期已到而迟迟不生）,主治
术（白术）,牙长不休（渐至张口进食亦感困难，这叫“髓溢病”）,主治
牙长不休（渐至张口进食亦感困难，这叫“髓溢病”）,用白术煎汤漱口兼内服，有效。,用法
妊妇束胎（按：束脂是指产期已到而迟迟不生）,用白术、枳壳（麸炒），等分为末，和饭做成丸子，如梧子大。每服三十丸，饭前服，温水送下。,用法
胸膈烦闷,用白术研细，每取一茶匙，白水送下。,用法
五饮（一、留饮，水在胸部；二、癖饮，水在两胁下；三、痰饮，水在胃中；四、溢饮，水在五脏间；五、流饮，水在肠间。这些都是因为饮食胃寒，或饮茶过多所致）,用白术一斤、干姜（炮）半斤、桂心一斤，共研为末，和蜜成丸，如梧子大。每服二、三十丸，温水送下。此方名“倍术丸”。,用法
四肢肿满,用白术三两，每服半两用口嚼碎，加大枣三枚，煎服。一天服三、四次。,用法
中风口禁，不省人事,用白术四两，加酒三升，煮成一升，一次服完。,用法
产后中寒，遍身冷直，口禁,不省人事，用白术四两、泽泻一两、生姜五钱，加水一升煎服。,用法
头忽晕眩，四体消瘦，饮食无味，好食黄土,用白术三斤、曲三斤，捣乱筛净，加酒和丸，如梧子大。每服二十丸，一天服三次。忌食菘菜、桃、李、青鱼。,用法
中湿骨痛,用白术一两，加酒三杯，煎成一杯，一次服完。不喝酒的人，可用水煎服。,用法
小儿蒸热（脾虚人瘦，不思饮食）,用白术、白茯苓、白芍药各一两，甘草半两，加姜枣煎服。此方名“吃力伽散”。,用法
皮疹,用白术研细，每服一茶匙，酒送下。,用法
自汗不止,用白术末，每服一茶匙，酒送下。,用法
盗汗,用白术四两，分别以一两同牡蛎炒，同石斛炒，同麦麸炒。共研为末。每服三钱，杰米汤送下。一天服三次。,用法
产后呕吐,用白术一两二钱、生姜一两五钱，加酒和水各二升，煎成一升，分三次服。,用法
脾虚胀满（脾气不和，冷气客于中，雍塞不通）,用白术二两、桔皮四两，共研为末，加酒加糊，做成丸子，如梧子大。每服三十丸，饭前服，木香汤送下。此方名“宽中丸”。,用法
脾虚泄泻,用白术五钱、芍药一两，共研为末，加米饭做成丸子，如梧子大，每服五十丸，米汤送下。一天服两次，冬月加肉豆蔻煨为末。,用法
久泻肠滑,用白术（炒）、茯苓各一两，糯米（炒）二两，共研为末，加枣肉拌食或做成丸子服下。,用法
小儿久泻（米谷不化，饮食不进）,用白术二钱半（炒过），加半夏曲二钱半、丁香半钱，共研为末，再加姜汁、面糊，做成丸子，如黍米大。按小儿年岁，酌量给服，米汤送下。,用法
肠风痔漏、脱肛泻血，长期不愈,用白术一斤，黄土炒过，研细；另用干地黄半斤，在饭上蒸熟。两药捣和，如太干，可加酒少许。做成丸子，如梧子大。每服十五丸，米汤送下。一服服三次。,用法
苍术,草部,属于
苍术,赤术,别名
苍术,山精,别名
苍术,仙术,别名
苍术,山蓟,别名
苍术,苦、温、无毒。,性状
苍术,面黄食少,主治
苍术,喜吃生米（不思熟食，爱嚼生米，憔悴萎黄，终于不起）,主治
苍术,腹中虚冷，不能饮食，食亦不化,主治
苍术,脾湿水泻（困弱无力，水谷不化，腹痛甚剧）,主治
苍术,暑天暴泻,主治
苍术,久痢,主治
苍术,脾湿下血,主治
苍术,青盲、雀目,主治
苍术,两目昏涩,主治
苍术,风牙肿痛,主治
苍术,脐虫怪病（腹硬如铁，脐中流水，如虫爬行，痒不可忍）,主治
